Thresholds,False Negative Rates
0.01,0.0
0.019799999999999998,0.009900990099009901
0.0296,0.034653465346534656
0.0394,0.034653465346534656
0.0492,0.06435643564356436
0.059000000000000004,0.06435643564356436
0.0688,0.06930693069306931
0.07859999999999999,0.12871287128712872
0.08839999999999999,0.12871287128712872
0.0982,0.12871287128712872
0.108,0.2079207920792079
0.11779999999999999,0.2079207920792079
0.1276,0.2079207920792079
0.1374,0.23267326732673269
0.1472,0.23267326732673269
0.157,0.23267326732673269
0.1668,0.23267326732673269
0.1766,0.23267326732673269
0.1864,0.24752475247524752
0.1962,0.32673267326732675
0.20600000000000002,0.32673267326732675
0.2158,0.32673267326732675
0.2256,0.32673267326732675
0.2354,0.32673267326732675
0.2452,0.3316831683168317
0.255,0.3316831683168317
0.2648,0.35148514851485146
0.2746,0.3564356435643564
0.2844,0.3564356435643564
0.2942,0.3564356435643564
0.304,0.3564356435643564
0.3138,0.36633663366336633
0.3236,0.36633663366336633
0.3334,0.3712871287128713
0.3432,0.3712871287128713
0.353,0.3712871287128713
0.3628,0.3712871287128713
0.3726,0.3712871287128713
0.3824,0.3712871287128713
0.3922,0.3712871287128713
0.402,0.3712871287128713
0.4118,0.3910891089108911
0.4216,0.39603960396039606
0.4314,0.4207920792079208
0.4412,0.4207920792079208
0.451,0.43564356435643564
0.4608,0.43564356435643564
0.4706,0.4405940594059406
0.4804,0.45544554455445546
0.49019999999999997,0.45544554455445546
0.5,0.45544554455445546
0.5097999999999999,0.45544554455445546
0.5196,0.4603960396039604
0.5294,0.4752475247524752
0.5392,0.4900990099009901
0.549,0.4900990099009901
0.5588,0.5
0.5686,0.5
0.5784,0.5
0.5882,0.504950495049505
0.598,0.504950495049505
0.6078,0.5198019801980198
0.6176,0.5198019801980198
0.6274,0.5247524752475248
0.6372,0.5247524752475248
0.647,0.5247524752475248
0.6567999999999999,0.5346534653465347
0.6666,0.5445544554455446
0.6764,0.5495049504950495
0.6862,0.5643564356435643
0.696,0.5742574257425742
0.7058,0.6138613861386139
0.7156,0.6138613861386139
0.7253999999999999,0.6188118811881188
0.7352,0.6188118811881188
0.745,0.6188118811881188
0.7548,0.6287128712871287
0.7646,0.6336633663366337
0.7744,0.6732673267326733
0.7842,0.6732673267326733
0.794,0.6732673267326733
0.8038,0.6732673267326733
0.8136,0.6732673267326733
0.8234,0.6831683168316832
0.8331999999999999,0.6831683168316832
0.843,0.7029702970297029
0.8528,0.7079207920792079
0.8626,0.7079207920792079
0.8724,0.7227722772277227
0.8822,0.7326732673267327
0.892,0.7425742574257426
0.9017999999999999,0.7772277227722773
0.9116,0.8217821782178217
0.9214,0.8217821782178217
0.9312,0.8514851485148515
0.941,0.8564356435643564
0.9508,0.8663366336633663
0.9606,0.8910891089108911
0.9703999999999999,0.9108910891089109
0.9802,0.9306930693069307
0.99,0.9356435643564357
