Thresholds,False Negative Rates
0.01,0.0
0.019799999999999998,0.009900990099009901
0.0296,0.01485148514851485
0.0394,0.01485148514851485
0.0492,0.019801980198019802
0.059000000000000004,0.019801980198019802
0.0688,0.13861386138613863
0.07859999999999999,0.13861386138613863
0.08839999999999999,0.3316831683168317
0.0982,0.3316831683168317
0.108,0.3316831683168317
0.11779999999999999,0.3316831683168317
0.1276,0.3316831683168317
0.1374,0.3564356435643564
0.1472,0.3564356435643564
0.157,0.3564356435643564
0.1668,0.3564356435643564
0.1766,0.41089108910891087
0.1864,0.41089108910891087
0.1962,0.41089108910891087
0.20600000000000002,0.41089108910891087
0.2158,0.41089108910891087
0.2256,0.41089108910891087
0.2354,0.41089108910891087
0.2452,0.41089108910891087
0.255,0.41089108910891087
0.2648,0.41089108910891087
0.2746,0.41089108910891087
0.2844,0.41089108910891087
0.2942,0.41089108910891087
0.304,0.41089108910891087
0.3138,0.41089108910891087
0.3236,0.41089108910891087
0.3334,0.41089108910891087
0.3432,0.41089108910891087
0.353,0.41089108910891087
0.3628,0.41089108910891087
0.3726,0.41089108910891087
0.3824,0.4158415841584158
0.3922,0.4158415841584158
0.402,0.4158415841584158
0.4118,0.4158415841584158
0.4216,0.4306930693069307
0.4314,0.4306930693069307
0.4412,0.4306930693069307
0.451,0.4306930693069307
0.4608,0.4306930693069307
0.4706,0.4306930693069307
0.4804,0.4801980198019802
0.49019999999999997,0.4801980198019802
0.5,0.4801980198019802
0.5097999999999999,0.4801980198019802
0.5196,0.4801980198019802
0.5294,0.4801980198019802
0.5392,0.4801980198019802
0.549,0.504950495049505
0.5588,0.5247524752475248
0.5686,0.5297029702970297
0.5784,0.5297029702970297
0.5882,0.5297029702970297
0.598,0.5297029702970297
0.6078,0.5297029702970297
0.6176,0.5297029702970297
0.6274,0.5891089108910891
0.6372,0.6188118811881188
0.647,0.6188118811881188
0.6567999999999999,0.6188118811881188
0.6666,0.6188118811881188
0.6764,0.6188118811881188
0.6862,0.698019801980198
0.696,0.698019801980198
0.7058,0.698019801980198
0.7156,0.698019801980198
0.7253999999999999,0.7079207920792079
0.7352,0.7178217821782178
0.745,0.7178217821782178
0.7548,0.7178217821782178
0.7646,0.7178217821782178
0.7744,0.7178217821782178
0.7842,0.7475247524752475
0.794,0.7574257425742574
0.8038,0.7574257425742574
0.8136,0.7574257425742574
0.8234,0.7574257425742574
0.8331999999999999,0.7772277227722773
0.843,0.7772277227722773
0.8528,0.7772277227722773
0.8626,0.7772277227722773
0.8724,0.7772277227722773
0.8822,0.7772277227722773
0.892,0.7772277227722773
0.9017999999999999,0.7920792079207921
0.9116,0.7920792079207921
0.9214,0.806930693069307
0.9312,0.8168316831683168
0.941,0.8267326732673267
0.9508,0.8514851485148515
0.9606,0.8960396039603961
0.9703999999999999,0.9257425742574258
0.9802,0.9405940594059405
0.99,0.9554455445544554
