Recall,Precision
1.0,0.14532374100719425
0.9900990099009901,0.1530221882172915
0.9851485148514851,0.15881883479648842
0.9851485148514851,0.16764953664700927
0.9801980198019802,0.181651376146789
0.9801980198019802,0.181651376146789
0.8613861386138614,0.22081218274111675
0.8613861386138614,0.22165605095541402
0.6683168316831684,0.6428571428571429
0.6683168316831684,0.6521739130434783
0.6683168316831684,0.6521739130434783
0.6683168316831684,0.6521739130434783
0.6683168316831684,0.6521739130434783
0.6435643564356436,0.7428571428571429
0.6435643564356436,0.7428571428571429
0.6435643564356436,0.7428571428571429
0.6435643564356436,0.7428571428571429
0.5891089108910891,0.8561151079136691
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.8686131386861314
0.5891089108910891,0.875
0.5891089108910891,0.875
0.5891089108910891,0.875
0.5891089108910891,0.875
0.5891089108910891,0.875
0.5891089108910891,0.875
0.5891089108910891,0.8814814814814815
0.5891089108910891,0.8814814814814815
0.5891089108910891,0.8814814814814815
0.5841584158415841,0.8805970149253731
0.5841584158415841,0.8805970149253731
0.5841584158415841,0.8805970149253731
0.5841584158415841,0.8805970149253731
0.5693069306930693,0.8846153846153846
0.5693069306930693,0.8846153846153846
0.5693069306930693,0.8846153846153846
0.5693069306930693,0.8846153846153846
0.5693069306930693,0.8846153846153846
0.5693069306930693,0.8846153846153846
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.5198019801980198,0.9210526315789473
0.49504950495049505,0.9174311926605505
0.4752475247524752,0.9142857142857143
0.47029702970297027,0.9134615384615384
0.47029702970297027,0.9134615384615384
0.47029702970297027,0.9134615384615384
0.47029702970297027,0.9134615384615384
0.47029702970297027,0.9134615384615384
0.47029702970297027,0.9134615384615384
0.41089108910891087,0.9325842696629213
0.3811881188118812,0.9390243902439024
0.3811881188118812,0.9390243902439024
0.3811881188118812,0.9390243902439024
0.3811881188118812,0.9506172839506173
0.3811881188118812,0.9506172839506173
0.30198019801980197,1.0
0.30198019801980197,1.0
0.30198019801980197,1.0
0.30198019801980197,1.0
0.29207920792079206,1.0
0.28217821782178215,1.0
0.28217821782178215,1.0
0.28217821782178215,1.0
0.28217821782178215,1.0
0.28217821782178215,1.0
0.2524752475247525,1.0
0.24257425742574257,1.0
0.24257425742574257,1.0
0.24257425742574257,1.0
0.24257425742574257,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.22277227722772278,1.0
0.2079207920792079,1.0
0.2079207920792079,1.0
0.19306930693069307,1.0
0.18316831683168316,1.0
0.17326732673267325,1.0
0.1485148514851485,1.0
0.10396039603960396,1.0
0.07425742574257425,1.0
0.0594059405940594,1.0
0.04455445544554455,1.0
