Recall,Precision
1.0,0.15142428785607195
0.9900990099009901,0.16038492381716118
0.9653465346534653,0.19230769230769232
0.9653465346534653,0.19345238095238096
0.9356435643564357,0.2916666666666667
0.9356435643564357,0.30095541401273884
0.9306930693069307,0.3003194888178914
0.8712871287128713,0.37446808510638296
0.8712871287128713,0.37849462365591396
0.8712871287128713,0.3893805309734513
0.7920792079207921,0.5734767025089605
0.7920792079207921,0.5734767025089605
0.7920792079207921,0.5755395683453237
0.7673267326732673,0.6078431372549019
0.7673267326732673,0.6175298804780877
0.7673267326732673,0.6175298804780877
0.7673267326732673,0.62
0.7673267326732673,0.6224899598393574
0.7524752475247525,0.6608695652173913
0.6732673267326733,0.723404255319149
0.6732673267326733,0.723404255319149
0.6732673267326733,0.723404255319149
0.6732673267326733,0.7272727272727273
0.6732673267326733,0.7272727272727273
0.6683168316831684,0.7377049180327869
0.6683168316831684,0.7377049180327869
0.6485148514851485,0.793939393939394
0.6435643564356436,0.7926829268292683
0.6435643564356436,0.7926829268292683
0.6435643564356436,0.7926829268292683
0.6435643564356436,0.7926829268292683
0.6336633663366337,0.8311688311688312
0.6336633663366337,0.8366013071895425
0.6287128712871287,0.8355263157894737
0.6287128712871287,0.8355263157894737
0.6287128712871287,0.8410596026490066
0.6287128712871287,0.8410596026490066
0.6287128712871287,0.8410596026490066
0.6287128712871287,0.8410596026490066
0.6287128712871287,0.8466666666666667
0.6287128712871287,0.8466666666666667
0.6089108910891089,0.8978102189781022
0.6039603960396039,0.8970588235294118
0.5792079207920792,0.9
0.5792079207920792,0.9
0.5643564356435643,0.8976377952755905
0.5643564356435643,0.8976377952755905
0.5594059405940595,0.904
0.5445544554455446,0.9322033898305084
0.5445544554455446,0.9322033898305084
0.5445544554455446,0.9322033898305084
0.5445544554455446,0.9322033898305084
0.5396039603960396,0.9316239316239316
0.5247524752475248,0.9298245614035088
0.5099009900990099,0.9279279279279279
0.5099009900990099,0.9279279279279279
0.5,0.9351851851851852
0.5,0.9351851851851852
0.5,0.9351851851851852
0.49504950495049505,0.9433962264150944
0.49504950495049505,0.9433962264150944
0.4801980198019802,0.941747572815534
0.4801980198019802,0.941747572815534
0.4752475247524752,0.9411764705882353
0.4752475247524752,0.9411764705882353
0.4752475247524752,0.9411764705882353
0.46534653465346537,0.94
0.45544554455445546,0.9387755102040817
0.4504950495049505,0.9381443298969072
0.43564356435643564,0.9361702127659575
0.42574257425742573,0.945054945054945
0.38613861386138615,0.9397590361445783
0.38613861386138615,0.9397590361445783
0.3811881188118812,0.9390243902439024
0.3811881188118812,0.9390243902439024
0.3811881188118812,0.9390243902439024
0.3712871287128713,0.9375
0.36633663366336633,0.9367088607594937
0.32673267326732675,0.9295774647887324
0.32673267326732675,0.9295774647887324
0.32673267326732675,0.9295774647887324
0.32673267326732675,0.9295774647887324
0.32673267326732675,0.9295774647887324
0.31683168316831684,0.9411764705882353
0.31683168316831684,0.9411764705882353
0.297029702970297,0.9375
0.29207920792079206,0.9365079365079365
0.29207920792079206,0.9365079365079365
0.27722772277227725,0.9333333333333333
0.26732673267326734,0.9310344827586207
0.25742574257425743,0.9285714285714286
0.22277227722772278,0.9183673469387755
0.1782178217821782,0.9
0.1782178217821782,0.9
0.1485148514851485,0.8823529411764706
0.14356435643564355,0.8787878787878788
0.13366336633663367,0.9
0.10891089108910891,0.88
0.0891089108910891,0.8571428571428571
0.06930693069306931,0.8235294117647058
0.06435643564356436,1.0
