Thresholds,False Positive Rates
0.01,0.9496644295302014
0.019799999999999998,0.8783557046979866
0.0296,0.6870805369127517
0.0394,0.6820469798657718
0.0492,0.3850671140939597
0.059000000000000004,0.36828859060402686
0.0688,0.3674496644295302
0.07859999999999999,0.24664429530201343
0.08839999999999999,0.2424496644295302
0.0982,0.23154362416107382
0.108,0.09983221476510067
0.11779999999999999,0.09983221476510067
0.1276,0.09899328859060402
0.1374,0.08389261744966443
0.1472,0.08053691275167785
0.157,0.08053691275167785
0.1668,0.0796979865771812
0.1766,0.07885906040268456
0.1864,0.06543624161073826
0.1962,0.0436241610738255
0.20600000000000002,0.0436241610738255
0.2158,0.0436241610738255
0.2256,0.04278523489932886
0.2354,0.04278523489932886
0.2452,0.040268456375838924
0.255,0.040268456375838924
0.2648,0.028523489932885907
0.2746,0.028523489932885907
0.2844,0.028523489932885907
0.2942,0.028523489932885907
0.304,0.028523489932885907
0.3138,0.02181208053691275
0.3236,0.02097315436241611
0.3334,0.02097315436241611
0.3432,0.02097315436241611
0.353,0.020134228187919462
0.3628,0.020134228187919462
0.3726,0.020134228187919462
0.3824,0.020134228187919462
0.3922,0.01929530201342282
0.402,0.01929530201342282
0.4118,0.01174496644295302
0.4216,0.01174496644295302
0.4314,0.010906040268456376
0.4412,0.010906040268456376
0.451,0.010906040268456376
0.4608,0.010906040268456376
0.4706,0.010067114093959731
0.4804,0.006711409395973154
0.49019999999999997,0.006711409395973154
0.5,0.006711409395973154
0.5097999999999999,0.006711409395973154
0.5196,0.006711409395973154
0.5294,0.006711409395973154
0.5392,0.006711409395973154
0.549,0.006711409395973154
0.5588,0.00587248322147651
0.5686,0.00587248322147651
0.5784,0.00587248322147651
0.5882,0.0050335570469798654
0.598,0.0050335570469798654
0.6078,0.0050335570469798654
0.6176,0.0050335570469798654
0.6274,0.0050335570469798654
0.6372,0.0050335570469798654
0.647,0.0050335570469798654
0.6567999999999999,0.0050335570469798654
0.6666,0.0050335570469798654
0.6764,0.0050335570469798654
0.6862,0.0050335570469798654
0.696,0.0041946308724832215
0.7058,0.0041946308724832215
0.7156,0.0041946308724832215
0.7253999999999999,0.0041946308724832215
0.7352,0.0041946308724832215
0.745,0.0041946308724832215
0.7548,0.0041946308724832215
0.7646,0.0041946308724832215
0.7744,0.0041946308724832215
0.7842,0.0041946308724832215
0.794,0.0041946308724832215
0.8038,0.0041946308724832215
0.8136,0.0041946308724832215
0.8234,0.003355704697986577
0.8331999999999999,0.003355704697986577
0.843,0.003355704697986577
0.8528,0.003355704697986577
0.8626,0.003355704697986577
0.8724,0.003355704697986577
0.8822,0.003355704697986577
0.892,0.003355704697986577
0.9017999999999999,0.003355704697986577
0.9116,0.003355704697986577
0.9214,0.003355704697986577
0.9312,0.003355704697986577
0.941,0.003355704697986577
0.9508,0.0025167785234899327
0.9606,0.0025167785234899327
0.9703999999999999,0.0025167785234899327
0.9802,0.0025167785234899327
0.99,0.0
